Id|UniqueName|DisplayName|UseForTree|CausalNodeName|AffectedNodeName|HasLogic|Version
{b25d8c79-1ad2-4843-889a-980a0906f699}|IsGAC1ToEditOverlayReference|Is GAC --> Edit Overlay Reference|1|IsGAC1|EditOverlayReference|0|0
{17ccf01d-3308-45b4-9a0b-bd1fdfd7436d}|SelectOverlayReferenceToDeleteReference|Select Overlay Reference --> Delete Reference|1|SelectOverlayReference|DeleteReference|0|0
{8d8902a5-bf07-416c-bec3-c9a4ec90ad19}|FileName2ToSelectOverlayReference|File Name --> Select Overlay Reference|1|FileName2|SelectOverlayReference|0|0
{50db3941-a3a7-4627-884e-d261fd2ec769}|SelectNodeToAddDiscussion|Select Node --> Add Discussion|0|SelectNode|AddDiscussion|0|0
{646dbbd0-beab-4862-a861-60762400584b}|SelectNodeToReplyDiscussion|Select Node --> Reply Discussion|0|SelectNode|ReplyDiscussion|0|0
{be940d80-e60b-4c1a-93fe-576f87f676ae}|SelectNodeToDeleteDiscussion|Select Node --> Delete Discussion|0|SelectNode|DeleteDiscussion|0|0
{4a5603db-448f-4c43-b409-80ce4fd49ce8}|SelectNodeToLinkNodeToRole|Select Node --> Link Node To Role|0|SelectNode|LinkNodeToRole|0|0
{9b01473c-c37d-4611-bf59-6f463ef3ef43}|SelectNodeToLinkNodeToReference|Select Node --> Link Node To Reference|0|SelectNode|LinkNodeToReference|0|0
{29bf76aa-be83-45ea-b742-ff7600e8f47a}|SelectOverlayRoleToLinkNodeToRole|Select Overlay Role --> Link Node To Role|0|SelectOverlayRole|LinkNodeToRole|0|0
{4e32845c-cd23-4a4a-9f39-3cfa12866e30}|CommentToAddDiscussion|Comment --> Add Discussion|1|Comment|AddDiscussion|0|0
{ddc0a434-e88e-46d0-9dfa-4b6e48f2be8f}|TitleToComment|Title --> Comment|1|Title|Comment|0|0
{60cadae9-764d-4928-9090-d1a0adb2995e}|AuthorToComment|Author --> Comment|1|Author|Comment|0|0
{20306d9a-b1ae-4e16-9c18-408713a32732}|RoleToComment|Role --> Comment|1|Role|Comment|0|0
{a2f73f0f-3cba-4558-aada-b1a6145f0062}|DateToComment|Date --> Comment|1|Date|Comment|0|0
{a0e543c6-6c9e-4673-8b2b-5fe3f351776b}|CommentDetailsToComment|Comment Details --> Comment|1|CommentDetails|Comment|0|0
{40b5a6e9-d385-4f67-9b93-04e8d036d6c4}|SelectCommentToDeleteDiscussion|Select Comment --> Delete Discussion|1|SelectComment|DeleteDiscussion|0|0
{ec2481ea-72c2-4eff-abb8-265c379e3960}|CommentTitleToSelectComment|Comment Title --> Select Comment|1|CommentTitle|SelectComment|0|0
{c8d5a6e3-7fae-4521-91f0-a5107308df53}|CommentToReplyDiscussion|Comment --> Reply Discussion|0|Comment|ReplyDiscussion|0|0
{f5b6e8c6-ec53-4d63-8465-2b373fc09b22}|SelectSourceNodeToMoveNode|Select Source Node --> Move Node|1|SelectSourceNode|MoveNode|0|0
{16079e17-8683-40fb-9be9-929ac5ba4198}|SelectTargetNodeToMoveNode|Select Target Node --> Move Node|1|SelectTargetNode|MoveNode|0|0
{34be81bc-42a2-4a4b-a78c-0b2dffb97c17}|SourceNodeDisplayNameToSelectSourceNode|Source Node Display Name --> Select Source Node|1|SourceNodeDisplayName|SelectSourceNode|0|0
{78833ac2-302b-4299-89b2-69ca93d8ef4d}|TargetNodeDisplayNameToSelectTargetNode|Target Node Display Name --> Select Target Node|1|TargetNodeDisplayName|SelectTargetNode|0|0
{9fcf5d0d-c7c1-4589-8570-d941a12f327a}|SelectLinkToDeleteLink|Select Link --> Delete Link|1|SelectLink|DeleteLink|0|0
{2f9bdda3-ec89-4fda-b3a7-05ae20bd9e86}|DisplayName5ToSelectLink|Display Name --> Select Link|1|DisplayName5|SelectLink|0|0
{28c38d50-eab7-444a-9166-9fbe3083576c}|SelectOverlayReferenceToLinkNodeToReference|Select Overlay Reference --> Link Node To Reference|0|SelectOverlayReference|LinkNodeToReference|0|0
{70840ee8-7b51-4b59-ab56-32d6d8533426}|SelectParentNodeToAddLink|Select Parent Node --> Add Link|1|SelectParentNode|AddLink|0|0
{fa864609-67eb-459a-a3d3-734aa4b7bd90}|DisplayName3ToSelectParentNode|Display Name --> Select Parent Node|1|DisplayName3|SelectParentNode|0|0
{6632d26b-0cbc-4088-82d5-26986e0792e3}|SelectLinkToEditLink|Select Link --> Edit Link|0|SelectLink|EditLink|0|0
{9538a946-32f4-4596-a987-2243f4d1eaa2}|SelectNodeToAddNode|Select Node --> Add Node|0|SelectNode|AddNode|0|0
{7727d442-de88-4697-8b04-0595e6096a7c}|SelectNodeForEditToEditNode|Select Node For Edit --> Edit Node|1|SelectNodeForEdit|EditNode|0|0
{dac7daf0-d7ef-45aa-b6fa-f17475162fed}|DisplayName2ToSelectNodeForEdit|Display Name --> Select Node For Edit|1|DisplayName2|SelectNodeForEdit|0|0
{84d717a6-4c8c-47c8-b4b9-ee7e2c95d7ae}|UniqueName1ToSelectNodeForEdit|Unique Name --> Select Node For Edit|1|UniqueName1|SelectNodeForEdit|0|0
{a13c901f-8b54-4c96-8caa-2106a2e2aad3}|Goal1ToSelectNodeForEdit|Goal --> Select Node For Edit|1|Goal1|SelectNodeForEdit|0|0
{d9c05b83-6cdf-4990-a947-63b9811be748}|AlertLevelChanges1ToSelectNodeForEdit|Alert Level Changes --> Select Node For Edit|1|AlertLevelChanges1|SelectNodeForEdit|0|0
{998540a1-19bb-49ed-91a2-a5374743cc1c}|ContextGuidelines1ToSelectNodeForEdit|Context Guidelines --> Select Node For Edit|1|ContextGuidelines1|SelectNodeForEdit|0|0
{e31655fe-538d-48d2-92ce-b48ede68a72a}|NotesForEndUser1ToSelectNodeForEdit|Notes For End User --> Select Node For Edit|1|NotesForEndUser1|SelectNodeForEdit|0|0
{d281b5e8-c0bb-48f1-a6d8-96398acc54e7}|NodeDetailsByDomainExpert1ToSelectNodeForEdit|Node Details By Domain Expert --> Select Node For Edit|1|NodeDetailsByDomainExpert1|SelectNodeForEdit|0|0
{37bef689-35f7-4fb0-ba93-d6f297a3aec5}|NodeDetailsByModelIntegrator1ToSelectNodeForEdit|Node Details By Model Integrator --> Select Node For Edit|1|NodeDetailsByModelIntegrator1|SelectNodeForEdit|0|0
{7803a47d-d410-42b0-b7d9-d596586be344}|AddOverlayRoleToAddRole|Add Overlay Role --> Add Role|1|AddOverlayRole|AddRole|0|0
{0431e58d-c779-4f68-ad7f-8278d8fc46cb}|RoleNameToAddOverlayRole|Role Name --> Add Overlay Role|1|RoleName|AddOverlayRole|0|0
{a6e81983-4acd-4e83-9af6-e9c1a7f88b4b}|RoleDescriptionToAddOverlayRole|Role Description --> Add Overlay Role|1|RoleDescription|AddOverlayRole|0|0
{7421b715-5be1-46c5-91e8-5aa343af15aa}|RoleDescription1ToEditOverlayRole|Role Description --> Edit Overlay Role|1|RoleDescription1|EditOverlayRole|0|0
{8cd5f1ef-77e4-48b2-aa09-9e65c273993e}|DomainNodeToEditNode|Domain Node --> Edit Node|0|DomainNode|EditNode|0|0
{95d7fc92-bb3e-415f-bb96-32a0be9b033c}|AddOverlayRoleToEditRole|Add Overlay Role --> Edit Role|0|AddOverlayRole|EditRole|0|0
{dfe79835-1365-44e3-8ee1-8ae83f3425e0}|ReplyCommentToReplyDiscussion|Reply Comment --> Reply Discussion|1|ReplyComment|ReplyDiscussion|0|0
{b28b39be-14e1-432e-800a-0baa2a52d2a9}|ReplyTitleToReplyComment|Reply Title --> Reply Comment|1|ReplyTitle|ReplyComment|0|0
{7a860088-7dd7-4960-99b4-234d7018a1ec}|ReplyAuthorToReplyComment|Reply Author --> Reply Comment|1|ReplyAuthor|ReplyComment|0|0
{aebf70e9-53ce-4acb-9185-16249a90ba26}|ReplyRoleToReplyComment|Reply Role --> Reply Comment|1|ReplyRole|ReplyComment|0|0
{110125c8-97ac-4d99-958f-f1a985a1366e}|ReplyDateToReplyComment|Reply Date --> Reply Comment|1|ReplyDate|ReplyComment|0|0
{70f5fe36-1210-432e-b79e-f76055c32d5a}|ReplyCommentDetailsToReplyComment|Reply Comment Details --> Reply Comment|1|ReplyCommentDetails|ReplyComment|0|0
{275bb2fd-8b27-4665-aa76-2ca11e47664e}|ReplyParentCommentIdToReplyComment|Reply Parent Comment Id --> Reply Comment|1|ReplyParentCommentId|ReplyComment|0|0
{9fcfa5b7-e186-48a8-900b-8598c42b160b}|AddOverlayReferenceToAddReference|Add Overlay Reference --> Add Reference|1|AddOverlayReference|AddReference|0|0
{bf914b91-a550-4414-8116-1d5d98f2291a}|FileNameToAddOverlayReference|File Name --> Add Overlay Reference|1|FileName|AddOverlayReference|0|0
{e487b5fc-e1ff-48ae-90ec-b69f5276af30}|IsGACToAddOverlayReference|Is GAC --> Add Overlay Reference|1|IsGAC|AddOverlayReference|0|0
{aa292ec1-d303-4b53-bae2-ea9e5aedc280}|IsGAC2ToSelectOverlayReference|Is GAC --> Select Overlay Reference|1|IsGAC2|SelectOverlayReference|0|0
{38b1da3f-401f-45b3-bf49-784e87a0d518}|AddOverlayReferenceToEditReference|Add Overlay Reference --> Edit Reference|0|AddOverlayReference|EditReference|0|0
{62d36d18-67d5-486b-90c8-977ce8c4603e}|SelectDirectionToMoveNode|Select Direction --> Move Node|1|SelectDirection|MoveNode|0|0
{8cab1ed5-a082-48fd-9726-4c4881f846b8}|DirectionToSelectDirection|Direction in which the node should be moved --> Select Direction|1|Direction|SelectDirection|0|0
{ec3880ec-82c7-4b86-8713-d44bb869e080}|SourceNodeUniqueNameToSelectSourceNode|Source Node Unique Name --> Select Source Node|1|SourceNodeUniqueName|SelectSourceNode|0|0
{a65551b9-38bd-4a1c-971f-8923e29ade9c}|TargetNodeUniqueNameToSelectTargetNode|Target Node Unique Name --> Select Target Node|1|TargetNodeUniqueName|SelectTargetNode|0|0
{7b88f2b3-b39b-47b3-b31b-f411468c64df}|RemoveRoleLinkFromNodeToReadConfigForUpdate|Remove Role Link From Node --> Read Config For Update|1|RemoveRoleLinkFromNode|ReadConfigForUpdate|1|0
{582dcd8d-58b1-4a39-9b6d-060163700466}|SelectNodeToRemoveRoleLinkFromNode|Select Node --> Remove Role Link From Node|0|SelectNode|RemoveRoleLinkFromNode|0|0
{03ab7862-b42e-4d22-9ebe-24e775546224}|SelectOverlayRoleToRemoveRoleLinkFromNode|Select Overlay Role --> Remove Role Link From Node|0|SelectOverlayRole|RemoveRoleLinkFromNode|0|0
{81f9bebf-610e-47a5-aba3-21c0b46647bb}|SelectChildNodeToAddLink|Select Child Node --> Add Link|1|SelectChildNode|AddLink|0|0
{ab6232c8-baa6-42cf-890f-7cd213d1935b}|DisplayName4ToSelectChildNode|Display Name --> Select Child Node|1|DisplayName4|SelectChildNode|0|0
{a7aac87f-f088-42c3-ad8d-7fa33d6fe4ba}|EditOverlayLinkToEditLink|Edit Overlay Link --> Edit Link|1|EditOverlayLink|EditLink|0|0
{607e71c5-6180-405e-a144-d50154943cfe}|LinkScriptToEditOverlayLink|Link Script --> Edit Overlay Link|1|LinkScript|EditOverlayLink|0|0
{b553d2dc-152c-4439-b947-655f528beb69}|ScriptingLanguageToEditOverlayLink|Scripting Language --> Edit Overlay Link|1|ScriptingLanguage|EditOverlayLink|0|0
{daff9278-15da-4456-81ef-b8a07b587493}|RemoveReferenceLinkFromNodeToReadConfigForUpdate|Remove Reference Link From Node --> Read Config For Update|1|RemoveReferenceLinkFromNode|ReadConfigForUpdate|1|0
