Id|UniqueName|DisplayName|IsHome|IsDashboard
{92dd0992-91af-456d-abe3-e822c677e09e}|EUMainDashboardCISController|Design Main Dashboard|1|0
{9a874351-28f3-47d8-b226-15bb3aebcc54}|EUNodeActionCISController|Design CIS for Node Action Region|0|0
