ContextUniqueName|Id|UniqueName|DisplayName|TypeName
SessionTrace|{B25AD818-9823-4C5C-B034-EA93D6967BA1}|StateInfoId|Affected State Info Id|System.Guid
SessionTrace|{F9924C95-67EA-4364-AB7A-3D057A70279C}|TimeOfTransition|Time Of Transition|System.DateTime
SessionTrace|{9603204E-BFCC-424D-96C1-72E21A5313EF}|IsExternal|Is External Transition|System.Boolean
SessionTrace|{49571399-D554-4225-9F65-F853DBED5E5C}|UserId|User Id|System.Guid
SessionTrace|{6A32F373-AF39-46B6-B491-03BF01558511}|UserName|User Name|System.String
SessionTrace|{0875F207-1526-4003-AC16-55B2F5E0F2DE}|RoleId|Role Id|System.Guid
SessionTrace|{4C739BB2-17A4-407B-AC86-DCA8CCACC1D0}|RoleName|Role Name|System.String
UserRoles|{63993E2C-5BBD-4CC3-A7B4-1BA9198423A0}|RoleId|Role Id|System.Guid
UserRoles|{93CDFD32-568B-4CB9-88CC-DD281CCA8D82}|RoleName|Role Name|System.String
UserRoles|{2404572B-C2D6-4963-AC2F-1F01C09A2D44}|Admin|Is Admin Role|System.Boolean
AllRoles|{51434497-A4D5-4364-9853-ADC5103906F3}|RoleName|Role Node|System.String
AllRoles|{8DC42E53-8C75-4D1F-A32E-A89BA24EB329}|Admin|Is Admin Role|System.Boolean
